,id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle,signature,inventory_nr,Unnamed: 0,text,text_3,text_2,text_1,lev,sys,numbis,vw,backreference,subject_list,year_clean
992778,BV045054155,spa,,Inventarios de Felipe II,,dirigido por Fernando Checa Cremades,[Madrid],Fernando Villaverde ediciones,[2018],"Checa Cremades, Fernando","Philipp II. (Spanien, König)|Sammlung",p|s,,,,,,,,,,,,,,,PhilippII.(SpanienKönig) Sammlung,2018.0
1070786,BV047582057,ita,"Lorenzi Biondi, Cristiano",Testi e tracce della Commedia a Roma,,"Cristiano Lorenzi Biondi, Giulio Vaccaro",,,2021,"Vaccaro, Giulio",Latium|Handschrift|Dante (Alighieri),g|s|u,,,,,,,,,,,,,,,Latium Handschrift Dante(Alighieri),2021.0
233036,BV037922471,ita,"Forti, Micol",Potere e architettura nella Roma fascista,,,,,1994,,Rom|Architektur,g|s,,,,,,,,,,,,,,,Rom Architektur,1994.0
873941,BV040420130,eng,"Sykes, Norman",Winchester Cathedral,,[Norman Sykes]*,London,Pitkin Pictorals,1976,,Kathedrale Winchester,g,,,,,,,,,,,,,,,KathedraleWinchester,1976.0
550986,BV038366135,ger,"Goldkuhle, Fritz",Von der Gotik zur Romantik,,Fritz Goldkuhle,,,1971,,"Bremen, Walther|Sammlung|Rheinisches Landesmuseum Bonn",p|s|b,,,,,,,,,,,,,,,BremenWalther Sammlung RheinischesLandesmuseumBonn,1971.0
267323,BV037974049,ita,"Moschillo, Raffaele",Disegno e ridisegno del margine,,,,,2003,,"Maestro, Roberto",p,,,,,,,,,,,,,,,MaestroRoberto,2003.0
313146,BV038048304,ita,"Degli Esposti, Giovanna",Carducci in posa,,,,,2007,,"Carducci, Giosuè|Ikonographie",p|s,,,,,,,,,,,,,,,CarducciGiosuè Ikonographie,2007.0
360648,BV038120648,ger,"Hausmann, Stella",Das Rotundenmodell der Kathedrale St. Gallen und das dazugehörige Hängegerüstmodell,,,,,2010,,Stiftskirche Sankt Gallen,g,,,,,,,,,,,,,,,StiftskircheSanktGallen,2010.0
397239,BV038169711,eng,"Lippincott, Kristen",Urania redux,,,,,2001,,"Astrologie|Warburg, Aby",s|p,,,,,,,,,,,,,,,Astrologie WarburgAby,2001.0
834653,BV038902842,ita,"Schmucki, Oktavian",Fidelis von Sigmaringen (1578 - 1622),,,Roma,Istituto Storico dei Cappuccini,2004,,Fidelis (von Sigmaringen),p,BV000894864,Subsidia scientifica Franciscalia,,,,,,,,,,,,,Fidelis(vonSigmaringen),2004.0
37650,BV009610213,ita,"Firpo, Massimo",Riforma protestante ed eresie nell'Italia del Cinquecento,,Massimo Firpo,Bari,Laterza,1993,,Italien|Reformation,g|s,BV000741265,Quadrante,,,,,,,,,,,,,Italien Reformation,1993.0
729379,BV038648669,slv,"Cevc, Emilijan",Renesančna plastika na Slovenskem,,Emilijan Cevc,,,1965,,Renaissance|Slowenien,s|g,,,,,,,,,,,,,,,Renaissance Slowenien,1965.0
525404,BV038327729,fre,"Duval, Noël",Le dossier du groupe épiscopal de Bulla Regia,,Noël Duval,,,1969,,Bulla Regia|Architektur,g|s,,,,,,,,,,,,,,,BullaRegia Architektur,1969.0
971282,BV044338700,ita,,Palazzo Pamphilj,,,Torino,Umberto Allemandi,[2016],,Palazzo Pamphili,g,,,,,,,,,,,,,,,PalazzoPamphili,2016.0
925525,BV042404928,ger,,Vergils Aeneis in vier Zyklen von Buch-Illustrationen des 16. und 17. Jahrhunderts,,hrsg. und kommentiert von Ulrich Wilke und Werner Suerbaum,Neukirchen,Verl. Make a Book,2014,"Wilke, Ulrich|Suerbaum, Werner","Vergilius Maro, Publius|Illustration",u|s,,,,,,,,,,,,,,,VergiliusMaroPublius Illustration,2014.0
153814,BV037702745,ita,,Adriano Alloati,,Piemonte Artistico e Culturale ... A cura di Angelo Mistrangelo e con una introd. di Floriano De Santi,Milano,Fabbri,1989,"Alloati, Adriano|Mistrangelo, Angelo|De Santi, Floriano","Alloati, Adriano",p,,,,,,,,,,,,,,,AlloatiAdriano,1989.0
649489,BV038524187,ger,"Berswordt-Wallrabe, H. L. Alexander von","Galerie m. 463 Bochum-Weitmar, Haus Weitmar",,H. L. Alexander von Berswordt-Wallrabe,,,1974,,M,b,,,,,,,,,,,,,,,M,1974.0
256210,BV037956996,ita,"Milano, Carlo",Tra committenza e collenzionismo,,,,,2004,,"Genua|Plastik|Parodi, Domenico",g|s|p,,,,,,,,,,,,,,,Genua Plastik ParodiDomenico,2004.0
414556,BV038195075,fre,"Chapelot, Odette",Maîtrise d'ouvrage et maîtrise d'oeuvre dans le bâtiment médiéval,,,,,2001,,Frankreich|Bauhütte,g|s,,,,,,,,,,,,,,,Frankreich Bauhütte,2001.0
690732,BV038588610,ger,"Blom, J.","Falsch oder echt? zur Ausstellung im Stedelijk-Museum, Amsterdam",,J. Blom,,,1952,,Kunstfälschung,s,,,,,,,,,,,,,,,Kunstfälschung,1952.0
562986,BV038384608,eng,"Heikamp, Detlef",First international Congress on wax modelling in science and art,,Detlef Heikamp,,,1975,,Wachs,s,,,,,,,,,,,,,,,Wachs,1975.0
90874,BV023083281,hrv,"Radujko, Milan",Koporin,,Milan Radujko,Beograd,"Filozofski Fakultet u Beograd, Institut za Istoriju Umetnosti",2006,,Manastir Koporin,b,,,,,,,,,,,,,,,ManastirKoporin,2006.0
242386,BV037936941,ita,"Baraldi, Raffaella",Un esempio di intervento edilizio costiero eco-sostenibile,,,,,2003,"Maturo, Nicola",Maiori|Verkehrsbau,g|s,,,,,,,,,,,,,,,Maiori Verkehrsbau,2003.0
904257,BV041627307,ita,,Gabriele Basilico,,a cura di Giovanna Calvenzi,Roma,Contrasto,2014,"Calvenzi, Giovanna|Basilico, Gabriele","Basilico, Gabriele|Großstadt",p|s,,,,,,,,,,,,,,,BasilicoGabriele Großstadt,2014.0
908901,BV041819683,ita,"Beer, Mina","Modigliani, Soutine e gli artisti maledetti",,Mina Beer,,,2014,,"Modigliani, Amedeo|Malerei|Paris",p|s|g,,,,,,,,,,,,,,,ModiglianiAmedeo Malerei Paris,2014.0
24952,BV005161126,eng,"Sinding-Larsen, Staale",Christ in the council hall,,Staale Sinding-Larsen,Roma,L'Erma di Bretschneider,1974,,Dogenpalast|Christliche Kunst,g|s,BV005436380,Acta ad archaeologiam et artium historiam pertinentia,,,,,,,,,,,,,Dogenpalast ChristlicheKunst,1974.0
191836,BV037791962,ita,,Alberto Abate,,Polittico. Testi di Arnaldo Romani Brizzi ...,Roma,,1991,"Romani Brizzi, Arnaldo","Abate, Alberto",p,,,,,,,,,,,,,,,AbateAlberto,1991.0
115954,BV026237702,ita,"Spagnoli, Luisa",Lunga vita di Giorgio de Chirico,,Luisa Spagnoli,Milano,Longanesi,1971,,"De Chirico, Giorgio",p,BV004844168,La Fronda,,,,,,,,,,,,,DeChiricoGiorgio,1971.0
851235,BV038950783,ita,"Boschini, Marco",I gioieli pittoreschi,,Marco Boschini. Ed. critica a cura di Deborah Marchioro,Roma,Lithos,2000,"Marchioro, Deborah","Italien|Kunstgeschichtsschreibung|Boschini, Marco",g|s|u,BV013576948,Scritti d'arte,,,,,,,,,,,,,Italien Kunstgeschichtsschreibung BoschiniMarco,2000.0
157256,BV037712134,ita,,Dal Trecento al Seicento,,Antichi Maestri Pittori. Catalogo a cura di Giovanni Romano,Torino,Allemandi,1991,"Romano, Giovanni",Italien|Plastik,g|s,,,,,,,,,,,,,,,Italien Plastik,1991.0
508833,BV038304667,ita,"Caramel, Luciano",Un nuovo Maresciallo Ney di Giuseppe Grandi,,,,,1989,,"Grandi, Giuseppe|Bildnis",p|s,,,,,,,,,,,,,,,GrandiGiuseppe Bildnis,1989.0
1077085,BV047714467,ger,"Ulbrich, A.",Königsberger Kunstgewerbe,,von A. Ulbrich,,,1914,,Königsberg|Kunsthandwerk,g|s,,,,,,,,,,,,,,,Königsberg Kunsthandwerk,1914.0
45987,BV012240645,ger,,Alltag und Mythos,,Staatliche Kunstsammlungen Dresden. Kordelia Knoll. Fotogr.: Jürgen Karpinski,Leipzig ; Baalsdorf,UniMedia,1998,"Knoll, Kordelia|Karpinski, Jürgen",Staatliche Kunstsammlungen Dresden Skulpturensammlung|Athen|Schwarzfigurige Vasenmalerei,b|g|s,,,,,,,,,,,,,,,StaatlicheKunstsammlungenDresdenSkulpturensammlung Athen SchwarzfigurigeVasenmalerei,1998.0
1042122,BV047041063,ger,,Verbindung halten,,René Smolarski (Hg.),Göttingen,V&R unipress,[2021],"Smolarski, René",Post,s,BV045338966,Post - Wert - Zeichen,,,,,,,,,,,,,Post,2021.0
533062,BV038339504,hun,"Feld, István",Gótikus és reneszánsz épületfaragványok a csövári és a solymári várból,,"István Feld, Csaba László",,,1981,"László, Csaba",Burg|Solymár,s|g,,,,,,,,,,,,,,,Burg Solymár,1981.0
514153,BV038310927,ger,,Kupferplatten von Degas ausgestellt,,,,,1959,,"Degas, Edgar",p,,,,,,,,,,,,,,,DegasEdgar,1959.0
588332,BV038427990,ger,"Kropf, Rudolf",Ein Ringelspiel als Nähmaschinenfabrik,,Rudolf Kropf,,,1986,,Linz|Fabrik,g|s,,,,,,,,,,,,,,,Linz Fabrik,1986.0
1072846,BV047634369,ita,"Collarile, Lucia",La Via Crucis ridotta,,Lucia Collarile,,,2021,,"Martini, Arturo|Kreuzweg|Verlorener Sohn",p|s|u,,,,,,,,,,,,,,,MartiniArturo Kreuzweg VerlorenerSohn,2021.0
475617,BV038266813,fre,"Mazzucconi, Vittorio",Refaire le soeur des villes,,,,,1979,,Denkmalpflege,s,,,,,,,,,,,,,,,Denkmalpflege,1979.0
150525,BV037695324,ita,"Guidoni, Enrico",Sigle del giovane Michelangelo nelle opere di Domenico Ghirlandaio e Francesco Granacci,,,Vetralla,Edizioni Image,1999,,Italien|Künstlersignatur|Michelangelo (Buonarroti),g|s|p,,,,,,,,,,,,,,,Italien Künstlersignatur Michelangelo(Buonarroti),1999.0
587357,BV038426492,ger,"Krautheim, Ulrike",Zur Ikonologie der Bibliotheksfresken im ehemaligen Zisterzienserkloster Aldersbach,,Ulrike Krautheim,,,1985,,Kloster Aldersbach,b,,,,,,,,,,,,,,,KlosterAldersbach,1985.0
156765,BV037710584,ita,,Ilario Fioravanti,,Fondazione Cassa di Risparmio di Cesena ... A cura di Antonio Paolucci e Marisa Zattini. Saggi di Giancarlo Bojani ...,Cesena,<<Il>> Vicolo,2008,"Paolucci, Antonio|Zattini, Marisa|Bojani, Gian Carlo","Fioravanti, Ilario",p,,,,,,,,,,,,,,,FioravantiIlario,2008.0
544912,BV038356861,ger,"Gardner, Julian",Päpstliche Träume und Palastmalereien,,Julian Gardner,,,1989,,Papst,s,,,,,,,,,,,,,,,Papst,1989.0
825471,BV038881533,fre,,Les statuettes funeraires du Museo Gregoriano Egizio,,"Monumenti, Musei e Gallerie Pontificie. Jean-Claude Grenier",Città del Vaticano,,1996,"Grenier, Jean-Claude",Museo Gregoriano Egizio|Grabbeigabe,b|s,BV038749661,Aegyptiaca gregoriana,,,,,,,,,,,,,MuseoGregorianoEgizio Grabbeigabe,1996.0
344958,BV038096474,eng,"Wilkinson, MaryAnn",A great simplicity of form,,,,,2006,,"Modersohn-Becker, Paula",p,,,,,,,,,,,,,,,Modersohn-BeckerPaula,2006.0
237085,BV037928825,ita,"Calabria, Patrizia",La zecca di Roma tra fine VII ed VIII secolo,,,,,1995,"De Spirito, Giuseppe",Rom|Geschichte,g|s,,,,,,,,,,,,,,,Rom Geschichte,1995.0
660171,BV038540023,ger,"Sachs, Hannelore",Der Böhmische Altar im Dom zu Brandenburg,,Hannelore Sachs u. Wolf-Dieter Kunze,,,1987,"Kunze, Wolf-Dieter",Brandenburg|Dom,g|s,,,,,,,,,,,,,,,Brandenburg Dom,1987.0
291404,BV038013601,ita,"Ekserdjian, David",Francesco Maria Rondani e la cappella Centoni,,,,,2005,,"Rondani, Francesco Maria",p,,,,,,,,,,,,,,,RondaniFrancescoMaria,2005.0
158906,BV037716662,ita,,"Catalogo dei mobili ed oggetti artistici, che arredavano l'appartamento del Comm. Cesare Ranucci in Piazza dell'Esedra, nonchè della mobilia facente parte della successione del defunto N.U. il Marchese Cavalletti Rondinini",,,Roma,,1936,,"Cavalletti Rondinini, Francesco",p,,,,,,,,,,,,,,,CavallettiRondininiFrancesco,1936.0
342977,BV038093727,ita,"Piattelli, Crescenzo",Il ghetto ebraico della città di Camerino,,,,,1994,,Camerino|Getto,g|s,,,,,,,,,,,,,,,Camerino Getto,1994.0
496205,BV038290514,ita,"Nicolini, Fausto",Sulle origini del presepe napoletano,,,,,1948,,Neapel|Angewandte Kunst,g|s,,,,,,,,,,,,,,,Neapel AngewandteKunst,1948.0
311096,BV038045214,ita,"Verdon, Timothy",Il museo strumento di crescita nella fede,,,,,1998,,Italien|Museum,g|s,,,,,,,,,,,,,,,Italien Museum,1998.0
557133,BV038375553,ita,"Gurrieri, Francesco",Sul comportamento statico e sullo stato di conservazione delle fabbriche brunelleschiane,,Francesco Gurrieri ...,,,1980,,"San Lorenzo|Brunelleschi, Filippo|Konstruktionselement",g|p|s,,,,,,,,,,,,,,,SanLorenzo BrunelleschiFilippo Konstruktionselement,1980.0
413536,BV038193811,fre,"Le Boulc'h, Anne-Claude",Modèle anglais et contre-modèle tourangeau,,,,,2001,,Kathedrale Dol-de-Bretagne,g,,,,,,,,,,,,,,,KathedraleDol-de-Bretagne,2001.0
328554,BV038072428,ita,"Roncai, Luciano",Giardini cremaschi,,,,,2008,"Edallo, Edoardo",Crema|Garten,g|s,,,,,,,,,,,,,,,Crema Garten,2008.0
669129,BV038553298,ger,"Schnell, Hugo",Die Patrona Boiariae und das Wessobrunner Gnadenbild,,Hugo Schnell,,,1962,,"Krumpper, Hans|Deutschland|Plastik",p|g|s,,,,,,,,,,,,,,,KrumpperHans Deutschland Plastik,1962.0
938832,BV042924091,ita,"Schinetti, Maria Grazia",Attorno alla Transavanguardia,,di Maria Grazia Schinetti,,,2012,,"Germanà, Mimmo",p,,,,,,,,,,,,,,,GermanàMimmo,2012.0
1106144,BV047743534,ger,"Itten, Johannes",Kunstunterricht,,Johannes Itten,,,1931,,Kunsterziehung,s,,,,,,,,,,,,,,,Kunsterziehung,1931.0
39302,BV010154599,ger,"Dauner, Gudrun",Die Fresken aus Santa Chiara in Ravenna,,Gudrun Dauner,München,scaneg,[1995],,Santa Chiara|Freskomalerei|Pietro (da Rimini),g|s|p,BV009901527,Punctum,,,,,,,,,,,,,SantaChiara Freskomalerei Pietro(daRimini),1995.0
298775,BV038025070,ita,"Delsante, Ubaldo",Le corti di Giarola e di Oppiano nel contesto ambientale del Parco del Taro,,,,,1998,,Parco Fluviale Regionale del Taro,g,,,,,,,,,,,,,,,ParcoFluvialeRegionaledelTaro,1998.0
638063,BV038506319,fre,"Philippot, Paul",L' espace flamand et l'architecture des Pays-Bas espagnols,,Paul Philippot,,,[1987?],,Beneluxländer|Architektur,g|s,,,,,,,,,,,,,,,Beneluxländer Architektur,1987.0
945679,BV043425977,eng,"Marandet, François","The anointing of Solomon by Gerard de Lairesse discovered in the Cartwright Hall Art Gallery, Bradford",,by François Marandet,,,2016,,"Lairesse, Gérard de|Malerei",p|s,,,,,,,,,,,,,,,LairesseGérardde Malerei,2016.0
219184,BV037893582,ita,,Filippo Juvarra e la parrocchiale di Calcinate nel contesto dell'architettura settecentesca bergamasca,,,[S.l.],,1982/1983,,"Juvara, Filippo",p,,,,,,,,,,,,,,,JuvaraFilippo,1982.0
146377,BV037683120,ita,"Micalizzi, Paolo",Gubbio,,,[Gubbio],<<L'>> Arte Grafica Edizioni,2009,,Gubbio|Architektur,g|s,,,,,,,,,,,,,,,Gubbio Architektur,2009.0
190546,BV037789057,ger,"Pfitzner, Josef",Das tausendjährige Prag,,Josef Pfitzner. Mit 79 Bildern von Franz Höch,Bayreuth,Gauverl. Bayerische Ostmark,1940,"Höch, Franz",Prag,g,,,,,,,,,,,,,,,Prag,1940.0
146091,BV037681874,ita,,Benedetto XIV,,"Antichissima Compagnia dei Lombardi in Bologna. A cura di Giuliano Malvezzi Campeggi, Romolo Dodi",Bologna,,2008,"Malvezzi Campeggi, Giuliano|Dodi, Romolo",Benedikt XIV. (Papst),p,,,,,,,,,,,,,,,BenediktXIV.(Papst),2008.0
635390,BV038502111,spa,"Pérez Sánchez, Alfonso E.",Dos lienzos de Paolo de Matteis donados al Prado,,Alfonso E. Pérez Sánchez,,,1984,,"Matteis, Paolo de",p,,,,,,,,,,,,,,,MatteisPaolode,1984.0
254364,BV037954242,eng,"Rowe, Dorothy",Desiring Berlin,,,,,1995,,"Berlin|Ortsansicht|Dix, Otto",g|s|u,,,,,,,,,,,,,,,Berlin Ortsansicht DixOtto,1995.0
692271,BV038591048,fre,"Tsuji, Sahoko",Un essai d'identification des sujets des miniatures fragmentaires de la genèse descotton,,Sahoko Tsuji,,,1972,,Juda (Biblische Person)|Ikonographie|Mittelmeerraum,p|s|g,,,,,,,,,,,,,,,Juda(BiblischePerson) Ikonographie Mittelmeerraum,1972.0
9059,BV021565715,ger,"Steinemann, Holger",Eine Bildtheorie zwischen Repräsentation und Wirkung,,Holger Steinemann,Hildesheim [u.a.],Olms,2006,,"Paleotti, Gabriele",u,BV035415984,Studien zur Kunstgeschichte,,,,,,,,,,,,,PaleottiGabriele,2006.0
1011657,BV045941145,eng,"Fiorenza, Giancarlo",Giovanni Battista Palumba's mythological progeny,,Giancarlo Fiorenza,,,2016,,"Palumba, Giovanni Battista|Rom|Holzschnitt",p|g|s,,,,,,,,,,,,,,,PalumbaGiovanniBattista Rom Holzschnitt,2016.0
305068,BV038035196,ita,"Jonge, Krista de",Exemplum di progettazione rinascimentale nei Paesi Bassi,,,,,1998,,"Dubroeucq, Jacques|Architektur",p|s,,,,,,,,,,,,,,,DubroeucqJacques Architektur,1998.0
277670,BV037991109,ger,"Imorde, Joseph",Grünewald und das deutsche Gefühl,,,,,2005,,"Deutschland|Geschmack|Grünewald, Matthias",g|s|p,,,,,,,,,,,,,,,Deutschland Geschmack GrünewaldMatthias,2005.0
843502,BV038929029,eng,,Anatomy & art,,,Kansas City/Mo.,,1960,,Anatomie,s,,,,,,,,,,,,,,,Anatomie,1960.0
636564,BV038503988,hrv,"Petricioli, Ivo",Triptih iz Ugljana,,Ivo Petricioli,,,[1964?],,Italien|Malerei,g|s,,,,,,,,,,,,,,,Italien Malerei,1964.0
127661,BV037586051,ita,"Caselli, Letizia",La croce di Chiaravalle Milanese e le croci veneziane in cristallo di rocca,,,Padova,<<Il>> Prato,2002,,Venetien|Kreuz,g|s,,,,,,,,,,,,,,,Venetien Kreuz,2002.0
297278,BV038022973,ita,"Antetomaso, Ebe",La collezione di oggetti liturgici del cardinale Bessarione,,,,,2007,,Bessarion (Kardinal)|Sammlung,p|s,,,,,,,,,,,,,,,Bessarion(Kardinal) Sammlung,2007.0
952875,BV043672775,ita,,Imperato e Santafede - due protagonisti a confronto,,catalogo a cura di Stefano De Mieri,Napoli,Michele Gargiulo antiquario,[2015],"De Mieri, Stefano","Imparato, Girolamo",p,,,,,,,,,,,,,,,ImparatoGirolamo,2015.0
826114,BV038883481,ita,,Metallica,,Fondazione Torre Colombera. A cura di Claudio Cerritelli. Testi Getulio Alviani ...,Milano,Mazzotta,2001,"Cerritelli, Claudio|Alviani, Getulio","Alviani, Getulio",p,BV038750025,Materiamadre,,,,,,,,,,,,,AlvianiGetulio,2001.0
213939,BV037857007,fre,"Bouchet, Jules","La Villa Pia Des Jardins Du Vatican, Architecture De Pirro Ligorio",,"Publiée Dans Tous Ses Détails Par Jules Bouchet, Architecte, Avec une Notice Historique sur l'auteur de ce monument, Et Avec Un Texte Descriptif, Par Raoul-Rochette, Antiquaire. La gravure des planches a été exécutée sur acier par Hibon",Gœury,Cousin,1837,"Rochette, Désiré Raoul|Hibon, Auguste|Ligorio, Pirro","Ligorio, Pirro|Casino di Pio IV",p|g,,,,,,,,,,,,,,,LigorioPirro CasinodiPioIV,1837.0
667697,BV038551137,ger,"Schmidt, Diether","Bitte mit dem Weltkrieg aufzuhören, ich möchte arbeiten!",,Diether Schmidt,,,1986,,"Kokoschka, Oskar",p,,,,,,,,,,,,,,,KokoschkaOskar,1986.0
874848,BV040461562,por,"Meneses, Patricia",Dez lesenas renascimentais na Villa Zeri,,Patrícia Dalcanale Meneses,,,2010,,"Bregno, Andrea|Rom|Bauplastik|Fondazione Federico Zeri",p|g|s|b,,,,,,,,,,,,,,,BregnoAndrea Rom Bauplastik FondazioneFedericoZeri,2010.0
236311,BV037927518,eng,"Marsh, David",Visualizing Virtue,,,,,2003,,"Italien|Emblem|Alberti, Leon Battista",g|s|p,,,,,,,,,,,,,,,Italien Emblem AlbertiLeonBattista,2003.0
517318,BV038315507,ger,,Picasso in Mailand,,,,,1953,,"Picasso, Pablo",p,,,,,,,,,,,,,,,PicassoPablo,1953.0
88491,BV022501073,ita,"Fumi, Luigi",Nuptialia,,,Roma,Viella,2005,,Orvieto,g,,,,,,,,,,,,,,,Orvieto,2005.0
748280,BV038676011,ita,"Zannier, Italo",La fotografia in mostra,,,,,2005,,Fotografie,s,,,,,,,,,,,,,,,Fotografie,2005.0
320119,BV038059850,ger,"Stabenow, Jörg","Verortungen, Spiegelungen",,,,,2008,,"Sant'Alessandro Mailand|Städtebau|Mazenta, Giovanni Ambrogio",g|s|p,,,,,,,,,,,,,,,Sant'AlessandroMailand Städtebau MazentaGiovanniAmbrogio,2008.0
102290,BV024364037,ger,"Eco, Umberto",Die Bibliothek,,,München <<[u.a.]>>,Hanser,1987,,Bibliothek,s,,De bibliotheca,,,,,,,,,,,,,Bibliothek,1987.0
377891,BV038143977,ita,"Riva, Alessandro",Il vero segreto di Guttuso è nascosto nei disegni,,,,,1996,,"Guttuso, Renato",p,,,,,,,,,,,,,,,GuttusoRenato,1996.0
822755,BV038872814,ger,,Die Sammlung des Theatermalers Michael Mayr,,Red.: Peter Weninger u. Gerhard Winkler,Wien,,1984,"Weninger, Peter|Winkler, Gerhard","Mayr, Michael|Sammlung|Österreich",p|s|g,BV004595571,Katalog des Niederösterreichischen Landesmuseums,,,,,,,,,,,,,MayrMichael Sammlung Österreich,1984.0
916767,BV042157910,ita,,Federico Garolla - vintages,,,Gussago,Ed. dell'Arengario,2012,"Garolla di Bard, Federico","Garolla, Federico|Fotografie",p|s,,,,,,,,,,,,,,,GarollaFederico Fotografie,2012.0
379591,BV038146141,ger,"Lammers, Joseph","Geschichte, Ästhetik und Erziehung",,,,,1999,,Deutschland|Schulgebäude,g|s,,,,,,,,,,,,,,,Deutschland Schulgebäude,1999.0
92385,BV023272346,fre,"Cousinié, Frédéric",Images et méditation au XVIIe siècle,,Frédéric Cousinié,Rennes,Presses Univ. de Rennes,2007,,Frankreich|Malerei,g|s,,,,,,,,,,,,,,,Frankreich Malerei,2007.0
112124,BV036719751,ita,"Breccia Fratadocchi, Tommaso",Giuseppe Breccia Fratadocchi,,Tommaso Breccia Fratadocchi,Roma,Gangemi,2010,,"Breccia Fratadocchi, Giuseppe",p,,,,,,,,,,,,,,,BrecciaFratadocchiGiuseppe,2010.0
650213,BV038525274,ger,"Durian-Ress, Saskia",Europäische Barockplastik am Niederrhein,,Saskia Ress,,,1971,,"Grupello, Gabriel de|Plastik",p|s,,,,,,,,,,,,,,,GrupelloGabrielde Plastik,1971.0
513506,BV038310099,ita,,Acquisti recenti nel museo Vittoria ed Alberto,,,,,1905,,"Busti, Agostino|Victoria and Albert Museum",p|b,,,,,,,,,,,,,,,BustiAgostino VictoriaandAlbertMuseum,1905.0
970170,BV044306944,ita,"Severini, Giulia",Il ciborio di S. Maria Antiqua,,Giulia Severini,,,2016,,Santa Maria Antiqua|Ziborium,g|s,,,,,,,,,,,,,,,SantaMariaAntiqua Ziborium,2016.0
1169953,BV047901735,ita,"Maglio, Andrea","I paesaggi umani, 1977",,Andrea Maglio,,,2021,,Touring club italiano|Landschaft,b|s,,,,,,,,,,,,,,,Touringclubitaliano Landschaft,2021.0
198991,BV037809877,ita,"Schmuckher, Aidano",Storia del Teatro Carlo Felice,,,Genova,Compagnia dei Librai,1987,,Teatro Carlo Felice|Geschichte,b|s,,,,,,,,,,,,,,,TeatroCarloFelice Geschichte,1987.0
195426,BV037801300,ita,,Ricordo di Assisi,,,[S.l.],,[nach 1900],,Assisi|Kunst,g|s,,,,,,,,,,,,,,,Assisi Kunst,1900.0
1072496,BV047626978,ger,"Kinzelbach, Annemarie",Das Schneidhaus der Fugger,,Annemarie Kinzelbach,,,2021,,Fugger (Familie : 14. Jh.- : Augsburg)|Augsburg|Krankenhaus,p|g|s,,,,,,,,,,,,,,,Fugger(Familie:14.Jh.-:Augsburg) Augsburg Krankenhaus,2021.0
311610,BV038045977,ita,"Rapaggi, Antonio",La decorazione nell'architettura di Rodolfo Vantini a Brescia,,,,,1992,,"Brescia|Palast|Vantini, Rodolfo",g|s|p,,,,,,,,,,,,,,,Brescia Palast VantiniRodolfo,1992.0
987871,BV044895861,ita,,Il Palatino e il suo giardino segreto,,Giuseppe Morganti,Milano,Electa,[2018],"Morganti, Giuseppe",Palatin|Garten,g|s,,,,,,,,,,,,,,,Palatin Garten,2018.0
258643,BV037960614,ita,"Callegari, Raimondo",Lampi d'immortalità,,,,,1997,,Jacopo (da Montagnana),p,,,,,,,,,,,,,,,Jacopo(daMontagnana),1997.0
266763,BV037973286,ita,"Donato, Maria Monica",Dante ma non quello vero,,,,,2005,,Toskana|Freskomalerei,g|s,,,,,,,,,,,,,,,Toskana Freskomalerei,2005.0
409679,BV038188734,ita,"Zanella, Daniela",Documenti inediti sugli stuccatori Alessandro Casella e Bernardo Bianchi,,,,,1997,,"Lombardei|Baudekoration|Casella, Alessandro",g|s|p,,,,,,,,,,,,,,,Lombardei Baudekoration CasellaAlessandro,1997.0
551233,BV038366509,ger,"Golob, Nataša",Über frühe bemalte Holzdecken in mittelalterlichen Sakralräumen,,Nataša Golob,,,1990,,Konstruktionselement,s,,,,,,,,,,,,,,,Konstruktionselement,1990.0
153713,BV037702465,eng,"Francis, John G.","Notes from a journal kept in Italy and Sicily, during the years 1844, 1845, and 1846",,by J. G. Francis,London,Longman,1847,,Sizilien|Reiseliteratur,g|s,,,,,,,,,,,,,,,Sizilien Reiseliteratur,1847.0
727115,BV038645187,ger,"Caramelle, Franz",Die Restaurierung der Stiftskirche von Stams,,Franz Caramelle,,,1984,,"Gumpp, Georg Anton",p,,,,,,,,,,,,,,,GumppGeorgAnton,1984.0
1041298,BV047027247,ita,"Fornari, F.",Stagione scavi 1926/27,,F. Fornari,,,1927,,Kallistus-Katakombe,g,,,,,,,,,,,,,,,Kallistus-Katakombe,1927.0
305074,BV038035202,ita,"Solinas, Francesco",Lo stile Barberini,,,,,2007,,Italien|Kunst|Barberini (Familie : 11.-18. Jh. : Rom),g|s|p,,,,,,,,,,,,,,,Italien Kunst Barberini(Familie:11.-18.Jh.:Rom),2007.0
395913,BV038168048,ita,"Rossi, Gabriele",Strutture architettoniche degli orologi pubblici della Puglia,,,,,2001,,Apulien|Uhr,g|s,,,,,,,,,,,,,,,Apulien Uhr,2001.0
1085377,BV047722761,ger,,Die Sammlung Daniel Dollfus in Mülhausen,,,,,1903,,"Dollfus-Ausset, Daniel|Sammlung|Mülhausen",p|s|g,,,,,,,,,,,,,,,Dollfus-AussetDaniel Sammlung Mülhausen,1903.0
92413,BV023272840,ita,,La mente e il cuore,,Domenico Barrilà,Milano,Guerini e associati,2004,"Barrilà, Domenico",Affektivität,s,,,,,,,,,,,,,,,Affektivität,2004.0
