,id,lang,title,year,embedding_x,embedding_y,cluster
934,BV000243740,ger,Memento mori,[1984],149,-68,-1
935,BV000244011,ita,Plinio il Vecchio sotto il profilo storico e letterario,1982,383,-177,182
936,BV000244068,ita,Cristiano Banti,[1982],302,143,24
937,BV000244174,ita,La ceramica medioevale di Viterbo e dell'Alto Lazio,1983,-12,37,90
938,BV000244307,ita,Hayez,1983,208,-188,-1
939,BV000244611,ger,Venedig in frühen Photographien,1984,21,-491,-1
940,BV000244644,ita,La fabbrica della Dogana,1982,170,-147,118
941,BV000244736,ita,Ca' Marcello,1983,319,-211,-1
942,BV000245370,ita,Bibliotheca magica,1985,400,-102,-1
943,BV000245447,ita,Le origini di Loreto,1983,221,-207,110
944,BV000245454,ita,I dogi,1982,42,-502,14
945,BV000245592,ita,La pittura del '700 a Roma,1983,-357,3,-1
946,BV000245690,ita,Raffaello,1983,59,-207,-1
947,BV000246155,ita,La città di Catania,1983,229,71,88
948,BV000246340,ita,"Marco Davanzo, pittore della Carnia",1983,114,-302,-1
949,BV000246360,ger,Die Musik des 18. Jahrhunderts,[1985],408,-154,-1
950,BV000246575,fre,Ecriture et enluminure en Lorraine au Moyen âge,1984,25,-230,82
951,BV000246623,eng,The Republic of St. Peter,1984,204,-56,-1
952,BV000246844,ita,Spazio e immaginario,1982,-298,-139,-1
953,BV000246984,ger,Reliquienverehrung und Herrschaftsvermittlung,1984,310,-241,156
954,BV000247232,ita,Dynasty and destiny in Medici art,1984,93,3,95
955,BV000247461,ger,Wie ein goldener Traum,1984,97,-181,-1
956,BV000247779,ita,"Sorbi, tordi & nitidezze",1983,-144,502,2
957,BV000247808,eng,The life of Tintoretto and of his children Domenico and Marietta,1984,4,-120,-1
958,BV000247840,ita,Per virtù del fuoco,1983,464,324,52
959,BV000247842,ita,Città e architettura nella Roma imperiale,1983,-127,-147,73
960,BV000248038,ita,I Basaldella,1984,234,-226,135
961,BV000248272,eng,Artistic collaboration in the twentieth century,1984,-344,317,33
962,BV000248283,eng,African ivories,1984,42,-49,-1
963,BV000248528,ger,Handbuch der Marienkunde,1984,-97,-400,-1
964,BV000248648,ita,Raccontare Udine,1983,-276,-120,62
965,BV000248741,ger,Memoria,1984,272,-132,-1
966,BV000248801,ita,La Puglia tra barocco e rococò,1982,-315,328,32
967,BV000248917,ita,La Pinacoteca nazionale di Siena,1982,259,-90,-1
968,BV000249087,ita,Scultura italiana del XX secolo,1984,242,196,23
969,BV000249280,ita,La scenografia della Scala nell'età neoclassica,1983,-51,-230,-1
970,BV000249398,ita,La pittura emiliana del '600,1982,0,-154,-1
971,BV000249486,eng,The study of the Bible in the Middle Ages,1984,-557,45,1
972,BV000249553,ita,Città per vivere?,1983,455,324,-1
973,BV000249591,ita,Gli emblemi di Andrea Alciato nella edizione Steyner del 1531,1984,255,170,23
974,BV000249935,ger,Wege zur neuen Bibliothek,1985,315,-117,-1
975,BV000250408,ita,Settecentisti inglesi per illustrare la Biblioteca Palatina,1984,153,139,81
976,BV000250669,ger,Buchmalerei des Mittelalters,1984,-140,45,84
977,BV000250976,fre,Barocco in Italia e nei paesi slavi del sud,1983,391,313,55
978,BV000251013,ita,Novelli,1983,55,15,-1
979,BV000251193,ger,Informationseffizienz von Terminkontraktmärkten für Währungen,[1984],276,-226,151
980,BV000251231,ger,Der Bisamapfel in Kunst und Wissenschaft,1983,217,-241,141
981,BV000251370,ger,Böhmen im mittelalterlichen Europa,1984,-89,-173,-1
982,BV000251563,ger,Wenzel Lorenz Reiner,1984,400,-245,-1
983,BV000251856,ita,I mosaici salernitani nella storia e nell'arte,1983,-246,154,-1
984,BV000252565,ger,Untersuchungen zu Künstlerbildnis und Künstlerdarstellung in den Niederlanden im 17. Jahrhundert,1984,-319,90,8
985,BV000253560,ger,Augenblick und Zeitpunkt,1984,298,-185,144
986,BV000254309,gre,Il nuovo giorno,1982,119,-41,-1
987,BV000254361,ita,Il palazzo dei Pio di Savoia nel castello di Carpi,1983,-80,-98,93
988,BV000254376,fre,La chronique et l'histoire au Moyen Age,1984,149,-324,105
989,BV000254718,ger,Der Vater der deutschen Byzantinistik,1984,114,-98,-1
990,BV000254751,ger,Barockkirchen zwischen Donau und Alpen,1984,38,-287,74
991,BV000255106,ger,Jacob Christoph Le Blon,1985,-140,-468,-1
992,BV000255329,spa,Monasterios de España,1985,200,-45,-1
993,BV000255404,gre,Byzantinische metrologische Quellen,1982,-110,109,86
994,BV000255518,eng,Art and literature,1985,-383,253,-1
995,BV000256203,ita,"Potere, società e popolo tra età normanna ed età sveva",1983,430,279,-1
996,BV000256605,ita,I Longobardi in Italia,1982,93,-245,-1
997,BV000256755,ger,Kultur als einigendes Band?,1984,-157,-468,45
998,BV000256828,ita,"Venezia, Vienna",1983,25,-479,-1
999,BV000258402,ger,Intuition und Darstellung,1985,-153,298,10
1000,BV000258479,ita,Palazzi municipali del Lazio,1984,315,-26,-1
1001,BV000258601,ger,Kaineus,1985,374,64,57
1002,BV000259357,ger,"Geschichte, Kunst und Altertum",1984,357,-238,-1
1003,BV000259382,ger,Kunst der Gotik aus Böhmen,[1985],-302,287,31
1004,BV000259479,ita,Ricerche e ipotesi di Un Virgilio del Mantegna per Isabella d'Este,1983,34,-389,36
1005,BV000259537,ger,Romanik in Hessen,1984,-336,317,33
1006,BV000259574,ita,Manfredo Manfredi e il classicismo della Nuova Italia,1983,302,136,24
1007,BV000259716,ger,Die Renaissance in Italien,1984,127,26,94
1008,BV000260077,ger,Technische Denkmale in Augsburg,[1984],89,294,-1
1009,BV000260120,fre,Emilie romane,1984,-451,-283,7
1010,BV000260649,ger,Deutsche Geschichte 1815 - 1848,1985,-127,-479,-1
1011,BV000260656,ger,Blick vom Monte Cavo,1984,-140,317,10
1012,BV000260657,eng,Patterns in late Medici art patronage,1983,68,3,95
1013,BV000261501,ger,Wilamowitz nach 50 Jahren,1985,178,-336,105
1014,BV000261599,spa,Astrologia y arte en el lapidario de Alfonso X el Sabio,1984,-110,41,-1
1015,BV000261608,eng,San Vincenzo al Volturno,1985,-25,404,12
1016,BV000261951,eng,Man and the horse,1984,276,-173,161
1017,BV000262241,ger,Das Vieweg-Haus in Braunschweig,1985,336,-234,-1
1018,BV000262269,dut,Het Rijksmuseum,1985,170,298,-1
1019,BV000262603,lat,Gli smalti in Italia,1982,493,306,-1
1020,BV000263059,eng,Studien zur mittelalterlichen Kunst,1985,-144,298,10
1021,BV000263662,ger,Faszination des Mythos,1985,259,158,-1
1022,BV000264375,ita,Tra grammatica e retorica,1983,149,226,-1
1024,BV000264444,ita,Memoria dell'antico nell'arte italiana,1985,-127,510,2
1025,BV000264448,ger,Das Bürgerhaus in Altbaiern,[1984],42,-283,74
1026,BV000264900,ger,Die verborgene Geometrie in Raffaels Schule von Athen,1984,-110,-56,92
1027,BV000264904,ger,"Ivano Gianola, architetto",[1984],302,-166,162
1028,BV000265512,ita,La scultura nel XIX secolo,1984,68,222,41
1029,BV000265733,ger,Thiasos tōn Musōn,1984,-63,158,69
1030,BV000266133,ita,La Galleria Nazionale di Parma,[1983],-421,45,16
1031,BV000266305,eng,Early romanesque sculpture in Apulia,1984,106,219,41
1032,BV000266468,fre,Positions de thèses et de mémoires,1984,378,-219,179
1033,BV000267360,ita,Le confraternite romane,1984,-178,-230,70
1034,BV000267435,ger,Die romanischen Wandmalereien von San Silvestro in Tivoli,1983,123,476,4
1035,BV000267462,fre,Le Musée des Beaux-Arts de Lille,1984,-442,3,-1
1036,BV000267469,ita,Il mobile a Parma fra Barocco e Romanticismo,1983,174,-98,114
1037,BV000267491,ita,La Sardegna spagnola,1982,340,-49,-1
1038,BV000267492,ita,La Sardegna nell'Ottocento,1984,170,-18,102
1039,BV000267885,ita,Porcellane dell'Ottocento a Palazzo Pitti,1983,425,-283,-1
1040,BV000268065,ita,L' arte del Duecento in Puglia,1984,-285,309,-1
1041,BV000268124,spa,Chiesa delle SS. Stimmate di Francesco d'Assisi in Roma,1982,-166,-272,71
1042,BV000268283,eng,The preservation and restoration of photographic materials in archives and libraries,1984,127,154,81
1043,BV000268310,ita,Il viaggio in Italia di P. A. Tolstoj,1983,481,302,-1
1044,BV000268583,eng,Papal epigraphy in Renaissance Rome,1982,119,464,4
1045,BV000268635,ita,La traversa nazionale interna di Spoleto,1982,212,-185,-1
1046,BV000268646,ita,Aspetti della cultura e della società nel Maceratese dal 1860 al 1915,1982,-59,11,91
1047,BV000269213,ita,Ennio Morlotti,1983,289,-275,170
1048,BV000269602,ger,Das Spiel,1985,183,-68,158
1049,BV000273696,ita,Le arti a Bologna e in Emilia dal XVI al XVII secolo,1982,-332,238,-1
1050,BV000274211,ita,Le giornale de' letterati de Rome,1984,391,-253,-1
1051,BV000274907,ger,Von Abildgaard bis Marstrand,1985,-272,139,-1
1052,BV000274930,ita,Itinerario di Pietro Sorri,1983,221,-132,139
1053,BV000275389,ger,Kunst mit Photographie,1983,174,-52,-1
1054,BV000275724,lat,Liber Ordinis Sancti Victoris Parisiensis,1984,144,-298,107
1055,BV000278480,ger,Anton von Werner,1985,-161,-457,47
1056,BV000278651,ger,Stuckdekorationen des 17. Jahrhunderts im Wiener Raum,1983,153,-154,125
1058,BV000279090,fre,Ecosse romane,1985,-344,340,-1
1059,BV000279112,ger,Die Kunst der römischen Katakomben,1983,-212,-268,72
1060,BV000279596,ita,"Pisa, la Piazza dei Miracoli",1982,378,-302,187
1062,BV000279831,ita,Il francescanesimo e il teatro medievale,1984,481,241,-1
1063,BV000279911,ita,Il monastero di San Fermo in Bergamo,1982,-17,-109,98
1064,BV000279918,ita,Museo d'Arti Applicate,1983,195,-170,137
1065,BV000279921,ita,Salerno disegnata,1983,174,-15,102
1066,BV000279957,ita,Levrero,1983,323,-290,167
1067,BV000280257,ita,La gola del merlo,1983,200,37,-1
1070,BV000280746,fre,Naissance du diable,1985,404,-204,-1
1071,BV000280796,ger,Die Kunst der Photographie,1984,-106,-234,56
1072,BV000280978,ita,Le macchine cifrate di Giovanni Fontana,1984,72,-385,-1
1073,BV000281013,ita,La litografia,1982,-136,-268,-1
1074,BV000281560,ger,Der Beginn der Kunstgeschichtsschreibung unter dem Paradigma Geschichte,1985,-191,-445,44
1075,BV000281565,ita,I beni culturali e ambientali,1983,374,268,-1
1076,BV000281724,lat,Coutumes de Chartreuse,1984,353,-204,186
1077,BV000281899,dut,Herinneringen aan Italië,1984,498,294,-1
1078,BV000282520,fre,A la rencontre de Galilée,1984,408,351,-1
1079,BV000282910,fre,Conservation et restauration,1983,-89,-370,35
1080,BV000283556,ger,Andrea Pisano und die toskanische Skulptur des 14. Jahrhunderts,1984,97,219,41
1081,BV000283711,ger,Taschenuhren im Bayerischen Nationalmuseum,1984,-136,-26,-1
1082,BV000283773,ita,Venezia nell'Ottocento,1983,63,-483,-1
1083,BV000283808,ita,Firenze - illuminazione pubblica e ambiente urbano,1983,-361,-211,6
1084,BV000284059,ita,Una società tipografico-editoriale a Venezia nel secolo XVI,1984,-68,162,-1
1085,BV000284242,ita,L'Acquario romano,1983,-195,-222,70
1086,BV000284243,ita,Arte e storia in Santa Maria Novella,1983,289,-64,-1
1087,BV000284672,ita,Ricerche sulla formazione della città nova di Cremona dall'età bizantina a Federico II,1982,319,0,-1
1089,BV000285619,ita,La riscoperta di Roma antica,1983,-183,-241,71
1090,BV000285733,ita,Arte e industria a Firenze,1983,238,-79,189
1091,BV000286426,ita,Gli artisti di Villa Strohl-Fern,1983,-55,-158,85
1092,BV000286642,ita,Architettura meridionale del rinascimento,1983,251,453,0
1093,BV000286772,ger,"Armenische Buchmalerei des 13. und 14. Jahrhunderts aus der Matenadaran-Sammlung, Jerewan",1984,-157,68,84
1097,BV000286882,fre,Le libertinage érudit dans la première moitié du XVIIe siècle,1983,46,362,42
1098,BV000286926,eng,Art and autoradiography,1982,140,-196,-1
1099,BV000287068,ita,Starnina e il gotico internazionale a Firenze,1983,-413,15,17
1100,BV000287093,ger,Der Jakobuskult des 12. Jahrhunderts und der Liber Sancti Jacobi,1984,161,-268,115
1101,BV000287482,ita,Bari,1982,72,-30,95
1102,BV000289094,fre,Mosaïque,1983,59,-94,-1
1103,BV000289345,ita,Manuale di volo,1982,-336,294,31
1104,BV000289418,ita,Entroterra ravennate e orizzonti barbarici,1984,-29,408,12
1105,BV000289603,ita,Inventari quattrocenteschi della chiesa di San Michele a San Daniele del Friuli,1983,242,-234,135
1106,BV000289833,ger,Deutschland im Film,1985,-178,-487,-1
1107,BV000289922,ita,L' arte di scrivere sull'arte,1982,251,-362,-1
1109,BV000290036,ger,Der Bilderschmuck des Dogenpalastes,1983,212,-3,96
1110,BV000290038,eng,Ferdinand Bol,1982,-425,41,16
1111,BV000290192,ita,La fascia costiera della Marca,1982,-140,143,28
1112,BV000290206,ger,Symbolwerte mittelalterlicher Kunst,1984,97,-332,-1
1113,BV000290381,eng,Collected writings,1984,-140,302,10
1114,BV000290413,ger,Das Problem der Naturnachahmung in den kunstkritischen Schriften Charles Nicolas Cochins d.J.,1983,12,-196,82
1115,BV000290767,ita,"Ricerche intorno ai monumenti del Niger Lapis al Foro Romano, (1955)",1984,136,94,-1
1116,BV000291025,swe,Svenska teckningar 1800-talet,1984,208,128,83
1117,BV000291430,ger,Die frühchristlichen Sarkophagreliefs aus Rom,1982,464,90,37
1118,BV000291492,dut,In de ban van Bomarzo,1984,166,-219,113
1119,BV000291711,eng,The sculptor Giovanni Bologna,1983,378,-211,172
1120,BV000291890,ger,"Karl von Piloty, Thusnelda im Triumphzug des Germanicus",1984,106,-272,-1
1121,BV000291940,ger,Studien zur Ikonographie der Erdteile in der Kunst des 16. - 18. Jahrhunderts,1985,-106,188,-1
1123,BV000292555,ger,Der Granatapfel,1982,276,-294,-1
1124,BV000293306,ita,Il luogo teatrale nella trattatistica italiana dell'800,1984,476,283,-1
1125,BV000293320,eng,Mediaeval baptismal fonts,1984,204,-336,-1
1126,BV000293370,eng,St. Martin and his hagiographer,1983,319,-241,-1
1127,BV000293619,eng,Late Roman fortifications,1983,442,86,37
1128,BV000293648,ger,Regionale Umweltnutzungen in der Zeit,[1985],166,-256,115
1129,BV000293748,ger,Baselitz: peintre - graveur,1983,97,-75,-1
1130,BV000293948,ita,Gli scavi di Nazaret,1984,353,-211,-1
1131,BV000294261,ita,Pietro in Vaticano,1983,-259,151,-1
1132,BV000294347,eng,Pursuing innocent pleasures,1984,-361,-15,-1
1133,BV000294571,ger,Der Kulturkampf in der Schweiz,1984,498,-60,3
1136,BV000294842,ita,Cafiero Filippelli,1982,344,-226,-1
1137,BV000295166,und,Das Kloster S[ank]t Johann im Thurtal,1985,174,279,-1
1138,BV000295382,ger,Kardinal Scipione Borghese,1984,251,-113,168
1139,BV000295673,ita,Due trattati,1983,-195,-34,38
1140,BV000295938,eng,Gothic sculpture in Istria,1982,97,226,41
1141,BV000296472,ita,Paolo Amato,1983,114,-204,-1
1142,BV000296561,ger,Die Brixner Hofburg,1983,25,-389,36
1143,BV000296604,ita,Rebus,1983,574,-83,3
1144,BV000296619,ita,Gli anni di plastica,1983,268,-83,160
1145,BV000296724,ita,L' Emilia-Romagna,1984,370,0,-1
1146,BV000296727,ita,Storia di Fidenza,1982,208,287,25
1147,BV000297097,ger,Papst und Kardinalskolleg von 1191 bis 1216,1984,140,483,4
1149,BV000297877,ger,Die Stilleben des Giorgio Morandi,1984,315,222,-1
1150,BV000297895,eng,Nicodemus,1984,46,45,90
1151,BV000298069,ita,La pietra,1983,357,222,-1
1152,BV000298094,ita,Camerino e il suo territorio fino al tramonto della Signoria,1983,178,-268,115
1153,BV000298449,lat,La pénitence,1984,246,18,96
1154,BV000298736,eng,The charterhouse of Rome,1984,225,-173,138
1155,BV000298812,fre,Cosmographie de Levant,1985,136,-185,133
1156,BV000299504,ger,Marketing innovativer Dienstleistungen am Beispiel elektronischer Wirtschaftsinformationsdienste,1985,395,-173,184
1159,BV000300056,ita,Mondo classico e cristianesimo,1982,34,-117,100
1160,BV000300321,ger,Die Skizzen zum Medici-Zyklus von Peter Paul Rubens in der Alten Pinakothek,1984,4,-204,82
1161,BV000300614,ita,Storia della biblioteca in Italia,1984,451,358,-1
1162,BV000300984,eng,Art of the Mediterranean world,1983,225,15,96
1163,BV000301112,ger,Die Geburt des Fegefeuers,1984,293,-196,145
1164,BV000301518,eng,Kenneth Clark,1984,-17,-49,-1
1165,BV000301572,ita,Convenevolezza,1984,29,-22,-1
1166,BV000301613,ger,Kleine Kunstgeschichte des deutschen Denkmals,1984,-178,-411,-1
1167,BV000301705,ita,Da Giotto a De Chirico,1983,-123,506,2
1168,BV000301707,ita,La cattedrale normanna di Alife,1984,-447,-287,7
1169,BV000302154,ita,Sicilia,1983,-242,37,39
1170,BV000302156,ita,Umbria,1983,200,-68,190
1171,BV000302317,fre,Urbanisme et métamorphoses de la Rome antique,1983,238,64,88
1172,BV000302410,ger,Pictures and punishment,1985,-332,-207,6
1173,BV000302426,fre,Le banquet des anges,1984,-144,313,10
1174,BV000302433,ita,Giulio Parigi e gli incisori della sua cerchia,1983,438,347,-1
1175,BV000302591,eng,Medieval manuscripts for mass and office,1982,119,-170,-1
1176,BV000303212,ger,Die Darstellung des Feldherrn Scipio Africanus,1982,-438,37,-1
1177,BV000303297,ger,Titus-Vertonungen im 18. Jahrhundert,1983,123,-241,106
1178,BV000303657,ita,I luoghi di Raffaello a Roma,1983,-34,-79,-1
1179,BV000304365,ita,Sicilia misterica,1982,-387,287,-1
1180,BV000304372,ger,Steuerinzidenz,1985,195,-94,114
1181,BV000305356,dut,De Lucaskrater,1984,-323,79,8
1182,BV000305421,ger,Klöster in Bayern,1985,-315,238,-1
1183,BV000305645,ger,Die Ansichten Roms,1983,-204,-275,72
1184,BV000305677,ita,Ceramica e farmacia di San Salvatore a Gerusalemme,1982,-12,-98,98
1189,BV000305894,ita,Le chiese della diocesi di Bari,1982,-451,-298,7
1190,BV000306261,ger,Eduardo Paolozzi,1984,178,-351,-1
1191,BV000306581,ger,Die Laokoongruppe im Vatikan,1982,383,230,-1
1192,BV000306699,eng,Programs of medieval illumination,1984,-144,41,84
1193,BV000307537,ger,Bildnis und Individuum,1985,425,306,-1
1194,BV000307953,ger,Die Kirche San Giovanni Crisostomo in Venedig,1985,-246,-64,-1
1195,BV000307961,ger,Die Florentiner Niobiden,1984,370,-7,-1
1197,BV000308576,eng,The Legenda aurea,1985,302,-98,-1
1198,BV000309232,fre,Actes du Colloque sur les Inventaires des Biens Culturels en Europe,1984,-59,245,-1
1199,BV000310254,ger,De arte et libris,1984,229,-49,-1
1200,BV000311187,eng,The art of Precolumbian gold,1985,-102,-139,73
1201,BV000311812,eng,Social order and rhetoric in the Rome of Julius II (1503 - 1513),1983,-42,-94,-1
1202,BV000312226,ita,1 Convegno sui Beni Culturali ed Ambientali delle Marche,1982,170,-313,105
1203,BV000312438,ita,Verso Gerusalemme,1982,217,83,89
1204,BV000312448,fre,La légende dorée,1984,149,-256,112
1205,BV000312503,ger,Kirchenbauten der Prämonstratenser,1984,102,-298,-1
1206,BV000312505,ger,Saint-Yved in Braine und die Anfänge der hochgotischen Architektur in Frankreich,1984,-293,-83,-1
1207,BV000312575,ger,Internationale Künstler in Bonn,1984,-370,287,-1
1208,BV000313448,eng,Civic sculpture in the Renaissance,1984,-110,-64,92
1209,BV000313768,ita,"La casa elettrica di Figini e Pollini, 1930",1982,-298,-102,-1
1210,BV000313782,ita,Immagini del barocco,1982,366,71,57
1211,BV000313794,ita,Stato nazista e cinematografia,1983,-225,-498,-1
1214,BV000314259,ger,Der schwangere Mann,1984,136,-230,-1
1215,BV000315378,ger,150-Jahr-Feier Deutsches Archäologisches Institut Rom,1982,-110,-253,-1
1216,BV000316050,ger,Die Madonna Platytera,1985,302,-272,193
1217,BV000316707,ita,La Madonna di Boccadirio,1983,-63,120,-1
1218,BV000316923,ger,Der Titusbogen,1983,-353,0,-1
1219,BV000316925,ita,Assetto urbano e architettura,1983,119,185,-1
1220,BV000316979,ger,Das Königsportal in Chartres,1984,391,-238,180
1222,BV000317079,ita,Le pitture del Santo di Padova,1984,-383,41,-1
1223,BV000317089,gre,Novum auctarium Bibliothecae hagiographicae graecae,1984,-106,113,86
1224,BV000317257,ger,Bruno Bushart,1985,140,-226,-1
1225,BV000317769,ita,I fatti loro,1983,-25,-313,67
1226,BV000317909,lat,Rudolfi de Liebegg pastorale novellum,1982,212,-109,122
1227,BV000318499,ger,Georgszyklen des Mittelalters,1983,178,79,89
1228,BV000318611,eng,Orpheus,1982,46,143,-1
1229,BV000318638,ger,Die goldenen Sessel meines Vaters,1983,-110,-358,35
1230,BV000318875,ger,Anemoi,1982,272,-147,-1
1231,BV000319080,lat,Liber donationum Altaeripae,1984,246,-56,-1
1232,BV000319178,ita,Il disagio della civiltà e le immagini,1982,327,-204,-1
1236,BV000319317,eng,Architectural painting in Delft,1982,110,-260,-1
1237,BV000319481,ger,Portulane,1984,200,-136,164
1238,BV000319955,ita,La biblioteca del cardinale Bernardo Clesio,1985,-119,-26,-1
1239,BV000319965,ger,Das französische Schloß der Renaissance,1985,183,7,-1
1240,BV000320092,eng,People and power in Byzantium,1982,-93,117,86
1241,BV000320470,ger,Staatenbildung der Insekten,1985,298,-109,-1
1242,BV000320755,eng,Support for the poor in the Mishnaic law of agriculture: Tractate Peah,1983,131,-249,106
1243,BV000320912,ger,Byzanz und der Westen,1984,-144,290,10
1244,BV000321185,ger,"Industrial design, Unikate, Serienerzeugnisse",1985,-144,-124,73
1245,BV000321273,eng,The sanctity of the seventh year,1983,246,-162,130
1246,BV000321549,eng,Art and ritual of the Byzantine Church,1982,-93,94,86
1247,BV000321619,ger,Studien zur Kolonnade,1984,246,-343,-1
1248,BV000321843,eng,Music in renaissance Ferrara,1984,-89,-75,-1
1249,BV000321988,ita,Silvestro Pianazzi,1982,208,-166,137
1250,BV000322237,ger,Der Schatz von San Marco in Venedig,1984,140,-105,-1
1251,BV000322432,ita,Colloquio Italo-Romeno L'Esame Storico-Artistico della Colonna Traiana,1982,68,-56,-1
1254,BV000322804,ger,Funktion und Formen mittelalterlicher Geschichtsschreibung,1985,-55,211,77
1255,BV000322978,ita,Migneco,1983,136,-192,133
1256,BV000323256,ger,Der Streit der Glieder mit dem Magen,1985,25,41,90
1257,BV000323305,spa,La mitología en la pintura española del Siglo de Oro,1985,131,52,94
1258,BV000323446,ger,Die Krypta von Marienberg im Vinschgau,1982,366,-238,143
1259,BV000323727,ger,Denken des Einen,1985,183,0,-1
1260,BV000323820,eng,Still life painting in Italy,1984,417,268,-1
1261,BV000324018,ita,I figli del celeste impero a Firenze,1982,140,-234,-1
1262,BV000324089,ita,Il Basso Salento,1982,149,-204,132
1263,BV000324234,ita,Chiese e monasteri medioevali scomparsi della laguna superiore di Venezia,1983,38,-113,-1
1264,BV000324266,eng,Theories of art,1985,425,336,-1
1265,BV000324519,ger,Die Bibliothek des Johannes Vitéz,1984,42,-411,36
1266,BV000324559,ita,L' arte contemporanea,1984,-395,264,-1
1267,BV000325021,ger,Die Pastophorien im syro-byzantinischen Osten,1983,200,-75,190
1268,BV000325608,ger,Brunnen und Wasserkünste in Frankreich im Zeitalter von Louis XIV,1985,42,358,-1
1269,BV000328585,pol,Kaplica na Zamku Wysokim w Malborku,1982,255,-222,151
1270,BV000335993,pol,Gotyckie malarstwo ścienne w Polsce,1984,42,-147,-1
1271,BV000337993,pol,Hercules Polonus,1984,378,83,57
1272,BV000339945,eng,Rome and the Arabs,1984,442,64,37
1273,BV000340263,ger,Die sieben Weltwunder,1984,80,-98,-1
1274,BV000340474,fre,La survie d'Eschyle à la Renaissance,1984,29,-158,-1
1275,BV000340610,eng,Pre-Republican Rome,1983,-153,-230,-1
1276,BV000340714,ita,Teoria del piano,1983,170,-41,-1
1277,BV000340840,ita,La città dell'illuminismo,1982,-114,-98,-1
1278,BV000340863,ita,Arezzo,1982,-80,45,87
1279,BV000340898,eng,Monasticism and the arts,1984,442,192,-1
1280,BV000341060,ita,I giardini di contemplazione,1985,42,-419,36
1281,BV000341778,ita,La Pieve della Mitria e il pagus romano di Nave,1982,-42,411,12
1282,BV000341945,eng,"Italian Trecento influence on murals in East Central Europe, particularly Hungary",1983,489,355,-1
1284,BV000341988,eng,The ideal of painting,1984,455,347,-1
1285,BV000342257,ger,Deutsche Romantiker,1985,-4,-256,66
1286,BV000342272,ger,Die Fränkische Galerie,1983,251,-52,-1
1287,BV000342340,ita,Giulio Mazzoni e la decorazione a Roma nella cerchia di Daniele da Volterra,1984,-93,26,87
1288,BV000342384,ita,Benevento nei ricordi dei viaggiatori italiani e stranieri,1982,349,-49,-1
1289,BV000342792,eng,The illustration of the Pauline Epistles in French and English Bibles of the twelfth and thirteenth centuries,1982,51,275,-1
1290,BV000342847,ita,Raffaello architetto,[1984],-110,-147,73
1291,BV000342857,eng,A century of collecting,1983,336,-294,167
1292,BV000343430,ger,Bilderstreit,1984,378,-136,-1
1296,BV000343629,ger,Elias Holl und das Augsburger Rathaus,1985,-263,-71,-1
1297,BV000343842,ger,Maria Magdalena,1984,349,200,-1
1298,BV000344152,ger,"Landesausstellung Niedersachsen 1985 Stadt im Wandel, Kunst und Kultur des Bürgertums in Norddeutschland 1150 - 1650",1985,89,-340,-1
1299,BV000344365,und,Otto statue di scultori reggiani nel Tempio della B.V. della Ghiara,1985,149,75,-1
1300,BV000344394,ger,Malerei der Romantik in Deutschland,1985,-29,-264,-1
1301,BV000344461,ger,Der Frauenfilm,1985,353,-196,-1
1302,BV000344855,ger,Spaziergang nach Syrakus im Jahre 1802,1985,400,-177,182
1303,BV000345468,eng,Byzantium and the Arabs in the fourth century,1984,-76,109,86
1304,BV000345499,ger,Die armenische Baukunst,1983,-268,-68,-1
1305,BV000345805,fre,Présence de l'architecture et de l'urbanisme romains,1983,-276,-113,62
1306,BV000346009,ger,Land der Wunder,1985,310,256,-1
1307,BV000346135,eng,The development of Middle Byzantine fresco painting in Greece,1982,76,86,-1
1308,BV000346183,ita,Capri,1983,251,-279,121
1309,BV000346196,ita,Immagini della campagna romana,1983,293,-181,-1
1310,BV000347068,fre,Constantinople imaginaire,1984,217,294,-1
1311,BV000347439,ita,"Memoria, paesaggio, progetto",1982,89,-7,95
1312,BV000347597,eng,Mannerism and Renaissance poetry,1984,-178,124,-1
1313,BV000347751,eng,Old master drawings from the Albertina,1984,97,15,94
1314,BV000347765,ger,Geschichte der Photographie,1983,-161,-162,-1
1315,BV000348475,ita,Guida a Viterbo,1982,327,-256,153
1316,BV000349760,ger,Wissenschaften im Zeitalter der Aufklärung,1985,-276,128,-1
1317,BV000350211,eng,The Arabic book,1984,157,-136,126
1318,BV000350823,ger,Einführung in die kunstgeschichtliche Hermeneutik,1984,-272,132,-1
1319,BV000350923,ger,Handschriftenforschung und Geistesgeschichte der italienischen Renaissance,1982,417,275,53
1320,BV000351444,ita,Le mura di Napoli,1984,-178,-41,38
1321,BV000351547,ita,Antonio Cifrondi a Brescia e il Ceruti giovane,1982,-408,49,16
1322,BV000352110,ita,Antichi testi cremonesi,1985,25,185,-1
1323,BV000352342,ger,Die Ikonographie der Kybele in der phrygischen und der griechischen Kunst,1983,361,75,57
1324,BV000352414,ger,Otto Grau,[1985],234,-151,131
1325,BV000352431,ita,Disegni di decorazione e di scenografia nelle collezioni pubbliche reggiane,1984,413,279,53
1326,BV000352679,ger,Castro,1985,-25,396,12
1327,BV000352866,ger,Bildhauertechnik des Spätmittelalters und der Frührenaissance,1984,119,222,41
1328,BV000352946,ita,Lo spettacolo della triaca,1983,59,-487,15
1329,BV000352948,ita,Venezia e il primo veneziano sulla cattedra di S. Pietro,1985,42,-479,14
1330,BV000352972,ita,"Diritto comune, diritto commerciale, diritto veneziano",1985,38,-498,14
